# Rust crates compiled into lib/arm64-v8a/libnav_graph_core.so — GENERATED.
#
# Regenerate with:  python3 tools/gen_rust_license_bundle.py
# Consumed by :app:generateLicenseIndex; the licence texts live under
# app/src/main/assets/licenses/texts/rust/. See docs/licenses.md.
#
# Columns: name | licence | version | licence text file(s) | notice file | provenance
#
# Iteration order is name-sorted so regeneration is byte-deterministic.
heck	MIT OR Apache-2.0	0.5.0	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/heck-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
is_terminal_polyfill	MIT OR Apache-2.0	1.70.2	licenses/texts/rust/anstream-LICENSE-APACHE,licenses/texts/rust/anstream-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
itoa	MIT OR Apache-2.0	1.0.18	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
log	MIT OR Apache-2.0	0.4.33	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/glob-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
memchr	Unlicense OR MIT	2.8.3	licenses/texts/rust/memchr-COPYING,licenses/texts/rust/memchr-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
mime	MIT OR Apache-2.0	0.3.17	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/mime-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
mime_guess	MIT	2.0.5	licenses/texts/rust/mime_guess-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
minimal-lexical	MIT/Apache-2.0	0.2.1	licenses/texts/rust/minimal-lexical-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT,licenses/texts/rust/minimal-lexical-LICENSE.md	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
nom	MIT	7.1.3	licenses/texts/rust/nom-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
once_cell	MIT OR Apache-2.0	1.21.4	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
paste	MIT OR Apache-2.0	1.0.15	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
plain	MIT/Apache-2.0	0.2.3	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/plain-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
proc-macro2	MIT OR Apache-2.0	1.0.106	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
quote	MIT OR Apache-2.0	1.0.46	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
scroll	MIT	0.12.0	licenses/texts/rust/scroll-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
scroll_derive	MIT	0.12.1	licenses/texts/rust/scroll_derive-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
semver	MIT OR Apache-2.0	1.0.28	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
serde	MIT OR Apache-2.0	1.0.228	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
serde_core	MIT OR Apache-2.0	1.0.228	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
serde_derive	MIT OR Apache-2.0	1.0.228	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
serde_json	MIT OR Apache-2.0	1.0.150	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
siphasher	MIT/Apache-2.0	0.3.11	licenses/texts/rust/siphasher-COPYING	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
smawk	MIT	0.3.3	licenses/texts/rust/smawk-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
static_assertions	MIT OR Apache-2.0	1.1.0	licenses/texts/apache-2.0.txt,licenses/texts/rust/static_assertions-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
strsim	MIT	0.11.1	licenses/texts/rust/strsim-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
syn	MIT OR Apache-2.0	2.0.118	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
textwrap	MIT	0.16.2	licenses/texts/rust/textwrap-LICENSE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
thiserror	MIT OR Apache-2.0	1.0.69	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
thiserror-impl	MIT OR Apache-2.0	1.0.69	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
toml	MIT/Apache-2.0	0.5.11	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/toml-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
unicase	MIT OR Apache-2.0	2.9.0	licenses/texts/rust/camino-LICENSE-APACHE,licenses/texts/rust/unicase-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
unicode-ident	(MIT OR Apache-2.0) AND Unicode-3.0	1.0.24	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/anyhow-LICENSE-MIT,licenses/texts/rust/unicode-ident-LICENSE-UNICODE	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_bindgen	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_build	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_checksum_derive	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_core	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_macros	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_meta	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_testing	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
uniffi_udl	MPL-2.0	0.28.3	licenses/texts/mpl-2.0.txt	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
utf8parse	Apache-2.0 OR MIT	0.2.2	licenses/texts/rust/anyhow-LICENSE-APACHE,licenses/texts/rust/utf8parse-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
weedle2	MIT	5.0.0	licenses/texts/rust/weedle2-LICENSE.md	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
zmij	MIT	1.0.21	licenses/texts/rust/anyhow-LICENSE-MIT	-	cargo metadata --locked --filter-platform aarch64-linux-android over nav_graph_core/Cargo.lock
