褏	褎
褺	褻
襉	襇
襍	雜
襵	褶
覉	羇
覊	羈
覐	覺
覔	覓
覥	靦
覰	覷
觧	解
觵	觥
訠	矧
訦	諶
註	注
訽	詬
詋	呪
詤	謊
詾	訩
誐	哦
誩	競
諁	啜
諊	鞫
諩	譜
讁	謫
讍	諤
讛	囈
豓	艶
豓	豔
豘	豚
豣	豜
豴	蹢
賍	贓
賍	贜
賷	齎
贃	賺
贒	賢
趒	跳
趦	趑
踁	硜
蹮	躚
蹹	蹋
躛	躗
躧	屣
躧	蹝
躱	躲
躷	矮
軄	職
軆	体
軰	輩
輓	挽
輙	輒
輧	軿
辤	辞
辤	辭
辶	辵
迊	匝
迊	帀
迯	逃
迹	跡
逷	逖
遉	偵
遙	遥
遟	遲
鄕	郷
鄕	鄉
醡	榨
醩	糟
釐	厘
釒	金
銁	鈞
銒	鈃
鋑	鐫
鋑	鑴
鍫	鍬
鎋	轄
鎙	槊
鏁	鎖
鏥	銹
鏥	鏽
閙	鬧
闗	関
闗	關
阧	陡
隂	陰
隖	塢
隝	塢
雙	双
霡	霢
霥	濛
靀	濛
靝	天
鞉	鞀
鞉	鼗
鞟	鞹
韈	襪
韒	鞘
韤	襪
頋	顧
頟	額
頣	頤
顖	囟
颱	台
飃	飄
飇	猋
飇	颮
飇	飆
飠	食
飤	飼
飦	饘
餘	余
餙	飾
馿	驢
駞	駝
駦	騰
騈	駢
騐	驗
騗	騙
騘	驄
驘	騾
骻	胯
髗	顱
髠	髡
髤	髹
髩	鬢
鬂	鬢
鬦	鬥
鬭	鬥
鬴	釜
鬽	魅
鮧	鯷
鱑	鰉
鳮	雞
鳮	鷄
鴺	鵜
鵶	鴉
鶃	鶂
鶽	隼
鸎	鶯
麄	粗
麄	觕
麄	麤
麕	麇
麫	麵
麴	麹
麸	麩
點	点
鼄	蛛
鼔	皷
鼔	鼓
齅	嗅
龡	吹
龥	籲
鿌	涼
﨑	埼
﨑	崎
﨑	嵜
﨑	碕
﨑	陭
益	益
礼	礼
